old_leaf_name,new_name,tooltip,field_type,page_index,rect_llx,rect_lly,rect_urx,rect_ury
f1_1[0],taxpayer_name,Name(s) shown on return,/Tx,0,36.000,684.000,452.850,698.001
f1_2[0],taxpayer_ssn,Your social security number,/Tx,0,453.600,684.000,576.000,698.001
c1_1[0],mfs_exception_checkbox,Box A: MFS exception met (see instructions),/Btn,0,564.000,663.000,573.000,672.000
c1_2[0],student_or_disabled_deemed_income_checkbox,Box B: Student/disabled deemed income used,/Btn,0,564.000,638.999,573.000,647.999
c1_3[0],more_than_3_care_providers_checkbox,More than three care providers (see instructions),/Btn,0,564.000,615.001,573.000,624.001
f1_3[0],care_provider_1_name,Care provider 1 name,/Tx,0,36.000,540.000,136.050,564.001
f1_4[0],care_provider_1_address_line1,Care provider 1 address line 1,/Tx,0,137.800,540.000,316.050,564.001
f1_5[0],care_provider_1_id_number,Care provider 1 identifying number (SSN or EIN),/Tx,0,316.800,540.000,388.800,552.001
c1_4[0],care_provider_1_household_employee_yes,Care provider 1 was household employee - Yes,/Btn,0,404.300,547.501,413.300,556.501
c1_4[1],care_provider_1_household_employee_no,Care provider 1 was household employee - No,/Btn,0,461.900,547.501,470.900,556.501
f1_6[0],care_provider_1_amount_paid,Care provider 1 amount paid,/Tx,0,504.000,540.000,576.000,552.001
f1_7[0],care_provider_2_name,Care provider 2 name,/Tx,0,36.000,515.999,136.050,540.000
f1_8[0],care_provider_2_address_line1,Care provider 2 address line 1,/Tx,0,137.800,515.999,316.050,540.000
f1_9[0],care_provider_2_id_number,Care provider 2 identifying number (SSN or EIN),/Tx,0,316.800,515.999,388.800,528.000
c1_5[0],care_provider_2_household_employee_yes,Care provider 2 was household employee - Yes,/Btn,0,404.300,523.500,413.300,532.500
c1_5[1],care_provider_2_household_employee_no,Care provider 2 was household employee - No,/Btn,0,461.900,523.500,470.900,532.500
f1_10[0],care_provider_2_amount_paid,Care provider 2 amount paid,/Tx,0,504.000,515.999,576.000,528.000
f1_11[0],care_provider_3_name,Care provider 3 name,/Tx,0,36.000,491.998,136.050,515.999
f1_12[0],care_provider_3_address_line1,Care provider 3 address line 1,/Tx,0,137.800,491.998,316.050,515.999
f1_13[0],care_provider_3_id_number,Care provider 3 identifying number (SSN or EIN),/Tx,0,316.800,491.998,388.800,503.999
c1_6[0],care_provider_3_household_employee_yes,Care provider 3 was household employee - Yes,/Btn,0,404.300,499.499,413.300,508.499
c1_6[1],care_provider_3_household_employee_no,Care provider 3 was household employee - No,/Btn,0,461.900,499.499,470.900,508.499
f1_14[0],care_provider_3_amount_paid,Care provider 3 amount paid,/Tx,0,504.000,491.998,576.000,503.999
c1_7[0],more_than_3_qualifying_persons_checkbox,More than three qualifying persons (see instructions),/Btn,0,564.000,391.502,573.000,400.502
f1_15[0],qualifying_person_1_first_name,Qualifying person 1 first name,/Tx,0,36.000,342.000,172.050,353.999
f1_16[0],qualifying_person_1_last_name,Qualifying person 1 last name,/Tx,0,173.800,342.000,308.850,353.999
f1_17[0],qualifying_person_1_ssn,Qualifying person 1 SSN,/Tx,0,309.600,342.000,396.000,353.999
c1_8[0],qualifying_person_1_disabled_over12_checkbox,Qualifying person 1 disabled and over age 12,/Btn,0,434.700,343.500,443.700,352.500
f1_18[0],qualifying_person_1_qualified_expenses_paid_2024,Qualified expenses paid in 2024 for qualifying person 1,/Tx,0,482.400,342.000,576.000,353.999
f1_19[0],qualifying_person_2_first_name,Qualifying person 2 first name,/Tx,0,36.000,330.001,172.050,342.000
